player,Total_Balls,Risk_Score,Risk_Level
PV Tambe,39,0.39,Low
KT Maphaka,39,0.39,Low
A Uniyal,38,0.38,Low
Navdeep Saini,38,0.38,Low
S Sriram,38,0.38,Low
B Sumanth,38,0.38,Low
J Yadav,38,0.38,Low
SD Chitnis,38,0.38,Low
L Wood,38,0.38,Low
L Ronchi,37,0.37,Low
Basil Thampi,37,0.37,Low
SR Tendulkar,37,0.37,Low
SSB Magala,37,0.37,Low
Imran Tahir,37,0.37,Low
M Vijay,37,0.37,Low
RG More,37,0.37,Low
T Henderson,36,0.36,Low
KA Maharaj,36,0.36,Low
PH Solanki,36,0.36,Low
BR Dunk,36,0.36,Low
R Ninan,36,0.36,Low
S Kaul,36,0.36,Low
Azmatullah Omarzai,34,0.34,Low
KL Nagarkoti,34,0.34,Low
Y Prithvi Raj,33,0.33,Low
S Chanderpaul,33,0.33,Low
P Dubey,33,0.33,Low
SZ Mulani,33,0.33,Low
Tanush Kotian,32,0.32,Low
PVD Chameera,32,0.32,Low
AS Joseph,32,0.32,Low
RJ Peterson,32,0.32,Low
VS Yeligati,32,0.32,Low
GD Phillips,31,0.31,Low
AF Milne,31,0.31,Low
PM Sarvesh Kumar,31,0.31,Low
C Sakariya,31,0.31,Low
AJ Turner,31,0.31,Low
Sohail Tanvir,31,0.31,Low
B Indrajith,31,0.31,Low
Sunny Singh,31,0.31,Low
NL McCullum,30,0.3,Low
M Muralitharan,30,0.3,Low
Joginder Sharma,30,0.3,Low
S Joseph,30,0.3,Low
MA Khote,30,0.3,Low
AS Raut,30,0.3,Low
BMAJ Mendis,30,0.3,Low
SB Jakati,30,0.3,Low
H Sharma,30,0.3,Low
TD Paine,29,0.29,Low
Naman Dhir,29,0.29,Low
JR Hazlewood,29,0.29,Low
AT Carey,29,0.29,Low
S Narwal,29,0.29,Low
D Jansen,28,0.28,Low
Mashrafe Mortaza,28,0.28,Low
D Pretorius,28,0.28,Low
VY Mahesh,28,0.28,Low
BMAJ Mendis,27,0.27,Low
RK Bhui,27,0.27,Low
J Syed Mohammad,27,0.27,Low
JA Richardson,27,0.27,Low
Mohsin Khan,27,0.27,Low
LPC Silva,27,0.27,Low
AN Ahmed,27,0.27,Low
TL Seifert,26,0.26,Low
T Taibu,26,0.26,Low
MD Shanaka,26,0.26,Low
SW Tait,26,0.26,Low
Sumit Kumar,26,0.26,Low
KMA Paul,26,0.26,Low
Naveen-ul-Haq,26,0.26,Low
NT Ellis,26,0.26,Low
DJ Malan,26,0.26,Low
DR Martyn,26,0.26,Low
Virat Singh,26,0.26,Low
VH Zol,26,0.26,Low
AUK Pathan,26,0.26,Low
IC Porel,26,0.26,Low
A Mithun,26,0.26,Low
MG Neser,25,0.25,Low
SS Sarkar,25,0.25,Low
Avesh Khan,25,0.25,Low
S Badree,25,0.25,Low
A Dananjaya,25,0.25,Low
A Badoni,25,0.25,Low
AA Noffke,25,0.25,Low
JM Kemp,25,0.25,Low
P Ray Barman,25,0.25,Low
HE van der Dussen,25,0.25,Low
MW Short,25,0.25,Low
KS Sharma,25,0.25,Low
NB Singh,25,0.25,Low
T Stubbs,25,0.25,Low
DAJ Bracewell,25,0.25,Low
A Zampa,25,0.25,Low
CK Kapugedera,24,0.24,Low
P Ray Barman,24,0.24,Low
GR Napier,24,0.24,Low
R Goyal,24,0.24,Low
SS Agarwal,24,0.24,Low
D Salunkhe,24,0.24,Low
V Kaverappa,24,0.24,Low
AS Roy,24,0.24,Low
J Arunkumar,24,0.24,Low
AJ Hosein,24,0.24,Low
M Prasidh Krishna,24,0.24,Low
Mustafizur Rahman,23,0.23,Low
NL McCullum,23,0.23,Low
Tilak Varma,23,0.23,Low
YV Dhull,23,0.23,Low
R Shukla,23,0.23,Low
DE Bollinger,23,0.23,Low
A Mukund,23,0.23,Low
AP Dole,23,0.23,Low
T Banton,22,0.22,Low
Sanvir Singh,22,0.22,Low
MA Khote,22,0.22,Low
GB Hogg,22,0.22,Low
Sumit Kumar,22,0.22,Low
G Coetzee,22,0.22,Low
SB Dubey,21,0.21,Low
Vivrant Sharma,21,0.21,Low
C Madan,21,0.21,Low
Tejas Baroka,21,0.21,Low
Gurnoor Brar,21,0.21,Low
KC Cariappa,21,0.21,Low
R Powell,21,0.21,Low
NJ Maddinson,21,0.21,Low
T Kohli,20,0.2,Low
A Choudhary,20,0.2,Low
Mukesh Kumar,20,0.2,Low
RV Patel,20,0.2,Low
DR Shorey,20,0.2,Low
Parvez Rasool,20,0.2,Low
Sunny Gupta,19,0.19,Low
Umar Gul,19,0.19,Low
FA Allen,19,0.19,Low
MB Parmar,19,0.19,Low
AC Thomas,19,0.19,Low
LI Meriwala,19,0.19,Low
M Ntini,19,0.19,Low
CJ Dala,19,0.19,Low
T Thushara,19,0.19,Low
DS Lehmann,19,0.19,Low
Shashank Singh,19,0.19,Low
A Nel,18,0.18,Low
RR Raje,18,0.18,Low
Y Gnaneswara Rao,18,0.18,Low
Jalaj S Saxena,18,0.18,Low
LMP Simmons,18,0.18,Low
SA Abbott,18,0.18,Low
S Sriram,18,0.18,Low
Noor Ahmad,18,0.18,Low
NJ Rimmington,18,0.18,Low
DJM Short,18,0.18,Low
IS Sodhi,18,0.18,Low
RW Price,18,0.18,Low
KS Williamson,18,0.18,Low
DB Ravi Teja,18,0.18,Low
DJ Harris,18,0.18,Low
VG Arora,17,0.17,Low
CK Kapugedera,17,0.17,Low
X Thalaivan Sargunam,17,0.17,Low
SMSM Senanayake,17,0.17,Low
CJ Green,17,0.17,Low
JJ van der Wath,17,0.17,Low
AU Rashid,17,0.17,Low
R Bishnoi,17,0.17,Low
Karanveer Singh,17,0.17,Low
Saurav Chauhan,16,0.16,Low
T Henderson,16,0.16,Low
Monu Kumar,16,0.16,Low
Kartik Tyagi,16,0.16,Low
S Rana,16,0.16,Low
GR Napier,16,0.16,Low
Yudhvir Singh,16,0.16,Low
Umran Malik,16,0.16,Low
SB Joshi,16,0.16,Low
TU Deshpande,15,0.15,Low
CJ McKay,15,0.15,Low
Mujeeb Ur Rahman,15,0.15,Low
ER Dwivedi,15,0.15,Low
NA Saini,15,0.15,Low
Gulbadin Naib,15,0.15,Low
JE Root,15,0.15,Low
UA Birla,15,0.15,Low
P Awana,14,0.14,Low
TS Mills,14,0.14,Low
AG Murtaza,14,0.14,Low
RA Bawa,14,0.14,Low
SM Harwood,14,0.14,Low
BB Sran,14,0.14,Low
Abdur Razzak,14,0.14,Low
R Sanjay Yadav,14,0.14,Low
LRPL Taylor,13,0.13,Low
B Laughlin,13,0.13,Low
SD Lad,13,0.13,Low
K Kartikeya,13,0.13,Low
D du Preez,13,0.13,Low
S Midhun,13,0.13,Low
ND Doshi,13,0.13,Low
S Vidyut,13,0.13,Low
MDKJ Perera,13,0.13,Low
Arshad Khan (2),13,0.13,Low
F Behardien,13,0.13,Low
DT Patil,13,0.13,Low
DP Nannes,13,0.13,Low
P Sahu,13,0.13,Low
JL Pattinson,13,0.13,Low
J Theron,13,0.13,Low
Fazalhaq Farooqi,13,0.13,Low
AA Kazi,13,0.13,Low
Vijaykumar Vyshak,13,0.13,Low
Harmeet Singh,12,0.12,Low
M Shahrukh Khan,12,0.12,Low
FY Fazal,12,0.12,Low
Mohit Rathee,12,0.12,Low
MJ Suthar,12,0.12,Low
PSP Handscomb,12,0.12,Low
DG Nalkande,12,0.12,Low
Mandeep Singh,12,0.12,Low
AR Bawne,12,0.12,Low
N Wadhera,12,0.12,Low
Akash Deep,12,0.12,Low
AA Noffke,12,0.12,Low
JE Root,12,0.12,Low
Mohammad Ashraful,12,0.12,Low
R Ravindra,12,0.12,Low
C Munro,12,0.12,Low
RR Bose,12,0.12,Low
RR Bhatkal,12,0.12,Low
Pankaj Singh,12,0.12,Low
TM Srivastava,11,0.11,Low
D Ferreira,11,0.11,Low
Jaskaran Singh,11,0.11,Low
BJ Haddin,11,0.11,Low
AJ Hosein,11,0.11,Low
I Udana,11,0.11,Low
AA Chavan,11,0.11,Low
S Ladda,10,0.1,Low
Sachin Baby,10,0.1,Low
A Singh,10,0.1,Low
MA Wood,10,0.1,Low
JP Behrendorff,9,0.09,Low
Ankit Soni,9,0.09,Low
Arjun Tendulkar,9,0.09,Low
KAJ Roach,9,0.09,Low
CK Langeveldt,9,0.09,Low
DAJ Bracewell,9,0.09,Low
K Upadhyay,9,0.09,Low
DNT Zoysa,9,0.09,Low
Shoaib Akhtar,8,0.08,Low
AA Kulkarni,8,0.08,Low
AN Ghosh,8,0.08,Low
D Kalyankrishna,8,0.08,Low
A Tomar,8,0.08,Low
RS Gavaskar,8,0.08,Low
KJ Abbott,8,0.08,Low
Simarjeet Singh,8,0.08,Low
A Uniyal,7,0.07,Low
M Theekshana,7,0.07,Low
BJ Rohrer,7,0.07,Low
BA Bhatt,7,0.07,Low
KK Ahmed,7,0.07,Low
SS Mundhe,7,0.07,Low
VS Malik,7,0.07,Low
GC Viljoen,7,0.07,Low
Younis Khan,7,0.07,Low
SH Johnson,7,0.07,Low
A Chandila,7,0.07,Low
SS Shaikh,7,0.07,Low
LA Carseldine,7,0.07,Low
Kumar Kushagra,7,0.07,Low
Mohammad Asif,6,0.06,Low
Aman Hakim Khan,6,0.06,Low
I Malhotra,6,0.06,Low
R Sai Kishore,6,0.06,Low
RA Tripathi,6,0.06,Low
F du Plessis,6,0.06,Low
B Chipli,6,0.06,Low
RA Shaikh,6,0.06,Low
AM Rahane,6,0.06,Low
LPC Silva,6,0.06,Low
BAW Mendis,6,0.06,Low
P Prasanth,6,0.06,Low
JPR Scantlebury-Searles,6,0.06,Low
Y Gnaneswara Rao,6,0.06,Low
Mukesh Choudhary,6,0.06,Low
Shoaib Ahmed,6,0.06,Low
SS Iyer,6,0.06,Low
SA Yadav,6,0.06,Low
C Ganapathy,6,0.06,Low
Gulbadin Naib,6,0.06,Low
RS Gavaskar,6,0.06,Low
P Chopra,6,0.06,Low
RJW Topley,6,0.06,Low
R Ninan,6,0.06,Low
GD McGrath,5,0.05,Low
HF Gurney,5,0.05,Low
V Viyaskanth,5,0.05,Low
Kamran Khan,5,0.05,Low
T Natarajan,5,0.05,Low
SJ Srivastava,5,0.05,Low
DM Bravo,5,0.05,Low
OC McCoy,5,0.05,Low
FH Edwards,5,0.05,Low
Akash Madhwal,5,0.05,Low
BR Sharath,5,0.05,Low
A Dananjaya,5,0.05,Low
H Das,5,0.05,Low
T Shamsi,4,0.04,Low
GHS Garton,4,0.04,Low
I Malhotra,4,0.04,Low
S Randiv,4,0.04,Low
JE Taylor,4,0.04,Low
K Yadav,4,0.04,Low
S Tyagi,4,0.04,Low
Liton Das,4,0.04,Low
Arshad Khan (2),4,0.04,Low
KP Appanna,4,0.04,Low
RP Meredith,3,0.03,Low
L Wood,3,0.03,Low
Shivam Singh,3,0.03,Low
BE Hendricks,3,0.03,Low
Harshit Rana,3,0.03,Low
VRV Singh,3,0.03,Low
P Parameswaran,3,0.03,Low
KMDN Kulasekara,3,0.03,Low
D Brevis,3,0.03,Low
LE Plunkett,3,0.03,Low
DJ Muthuswami,3,0.03,Low
SB Wagh,3,0.03,Low
Shivam Sharma,3,0.03,Low
KR Sen,3,0.03,Low
CRD Fernando,3,0.03,Low
M de Lange,2,0.02,Low
MJ Suthar,2,0.02,Low
R Sanjay Yadav,2,0.02,Low
RG More,2,0.02,Low
VS Yeligati,2,0.02,Low
SN Khan,2,0.02,Low
DA Warner,2,0.02,Low
IC Pandey,2,0.02,Low
RJ Gleeson,2,0.02,Low
PM Sarvesh Kumar,2,0.02,Low
SPD Smith,2,0.02,Low
L Ablish,2,0.02,Low
B Stanlake,2,0.02,Low
RS Sodhi,2,0.02,Low
SE Bond,2,0.02,Low
LB Williams,2,0.02,Low
Mashrafe Mortaza,2,0.02,Low
Mohit Rathee,2,0.02,Low
KM Asif,2,0.02,Low
KA Maharaj,2,0.02,Low
RR Bhatkal,2,0.02,Low
Abdur Razzak,2,0.02,Low
A Kamboj,2,0.02,Low
SS Cottrell,2,0.02,Low
Yash Dayal,1,0.01,Low
AC Gilchrist,1,0.01,Low
JL Denly,1,0.01,Low
U Kaul,1,0.01,Low
V Pratap Singh,1,0.01,Low
NJ Rimmington,1,0.01,Low
YBK Jaiswal,1,0.01,Low
DP Vijaykumar,1,0.01,Low
S Kaushik,1,0.01,Low
S Lamichhane,1,0.01,Low
Mayank Dagar,1,0.01,Low
SZ Mulani,1,0.01,Low
Atharva Taide,1,0.01,Low
C Nanda,1,0.01,Low
Abdul Basith,1,0.01,Low
Sunny Gupta,1,0.01,Low
YA Abdulla,1,0.01,Low
Y Prithvi Raj,1,0.01,Low
