player,Total_Balls
Nithish Kumar Reddy,118
Noor Ahmad,513
O Thomas,63
OC McCoy,180
OF Smith,95
P Amarnath,132
P Awana,774
P Dubey,67
P Kumar,2637
P Negi,733
P Parameswaran,159
P Prasanth,6
P Ray Barman,24
P Sahu,107
P Suyal,107
PC Valthaty,153
PD Collingwood,90
PH Solanki,36
PJ Cummins,1370
PJ Sangwan,905
PM Sarvesh Kumar,31
PP Chawla,3895
PP Ojha,1945
PV Tambe,674
PVD Chameera,297
PWH de Silva,557
Pankaj Singh,311
Parvez Rasool,200
R Ashwin,4679
R Bhatia,1661
R Dhawan,693
R Goyal,24
R McLaren,372
R Ninan,36
R Parag,181
R Powell,21
R Rampaul,278
R Ravindra,12
R Sai Kishore,191
R Sanjay Yadav,14
R Sathish,144
R Sharma,935
R Shepherd,133
R Shukla,130
R Tewatia,866
R Vinay Kumar,2186
RA Jadeja,3895
RA Shaikh,6
RA Tripathi,6
RD Chahar,1697
RE van der Merwe,455
RG More,37
RG Sharma,349
RJ Gleeson,51
RJ Harris,865
RJ Peterson,48
RJW Topley,107
RN ten Doeschate,83
RP Meredith,415
RP Singh,1874
RR Bhatkal,12
RR Bose,12
RR Powar,443
RR Raje,144
RS Bopara,213
RS Gavaskar,6
RS Hangargekar,43
RV Gomez,97
RV Patel,20
RW Price,18
Ramandeep Singh,45
Rashid Khan,2901
Rasikh Salam,207
Ravi Bishnoi,1460
S Aravind,788
S Badree,263
S Dhawan,49
S Dube,117
S Gopal,1000
S Joseph,30
S Kaul,1238
S Kaushik,210
S Ladda,141
S Lamichhane,211
S Midhun,13
S Nadeem,1444
S Narwal,113
S Rana,16
S Randiv,180
S Sandeep Warrier,176
S Sreesanth,947
S Sriram,18
S Tyagi,220
S Vidyut,13
SA Abbott,59
SA Yadav,6
SB Bangar,153
SB Jakati,1101
SB Joshi,55
SB Styris,222
SB Wagh,108
SC Ganguly,280
SC Kuggeleijn,50
SD Chitnis,38
SE Bond,191
SE Rutherford,46
SH Johnson,99
SJ Srivastava,306
SK Raina,930
SK Trivedi,1557
SK Warne,1223
SL Malinga,2974
SM Boland,43
SM Curran,1234
SM Harwood,67
